Median and Average Sales Prices of New Homes Sold in United States,,
,,
Annual Data,,
,,
Period,Median ,Average
1963,"$18,000","$19,300"
1964,"$18,900","$20,500"
1965,"$20,000","$21,500"
1966,"$21,400","$23,300"
1967,"$22,700","$24,600"
1968,"$24,700","$26,600"
1969,"$25,600","$27,900"
1970,"$23,400","$26,600"
1971,"$25,200","$28,300"
1972,"$27,600","$30,500"
1973,"$32,500","$35,500"
1974,"$35,900","$38,900"
1975,"$39,300","$42,600"
1976,"$44,200","$48,000"
1977,"$48,800","$54,200"
1978,"$55,700","$62,500"
1979,"$62,900","$71,800"
1980,"$64,600","$76,400"
1981,"$68,900","$83,000"
1982,"$69,300","$83,900"
1983,"$75,300","$89,800"
1984,"$79,900","$97,600"
1985,"$84,300","$100,800"
1986,"$92,000","$111,900"
1987,"$104,500","$127,200"
1988,"$112,500","$138,300"
1989,"$120,000","$148,800"
1990,"$122,900","$149,800"
1991,"$120,000","$147,200"
1992,"$121,500","$144,100"
1993,"$126,500","$147,700"
1994,"$130,000","$154,500"
1995,"$133,900","$158,700"
1996,"$140,000","$166,400"
1997,"$146,000","$176,200"
1998,"$152,500","$181,900"
1999,"$161,000","$195,600"
2000,"$169,000","$207,000"
2001,"$175,200","$213,200"
2002,"$187,600","$228,700"
2003,"$195,000","$246,300"
2004,"$221,000","$274,500"
2005,"$240,900","$297,000"
2006,"$246,500","$305,900"
2007,"$247,900","$313,600"
2008,"$232,100","$292,600"
2009,"$216,700","$270,900"
2010,"$221,800","$272,900"
2011,"$227,200","$267,900"
2012,"$245,200","$292,200"
2013,"$268,900","$324,500"
2014,"$288,500","$347,700"
2015,"$294,200","$352,700"
2016,"$307,800","$360,900"
2017,"$323,100","$384,900"
2018,"$326,400","$385,000"
2019,"$321,500","$383,900"
2020,"$336,900","$391,900"
2021,"$397,100","$464,200"
,,
,,
Note: The sales price includes the land.,,